System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0.807	0.891	0.847				310	74	38
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	7	3
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8				2	0	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.765	0.83	0.796				39	12	8
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.75	0.75	0.75				3	1	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.975	0.951	0.963				39	1	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.5	0.5	0.5				2	2	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.889	0.901	0.895				136	17	15
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.721	0.964	0.825				80	31	3
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.818	0.9	0.857				9	2	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	ALL	0.745	0.822	0.781				286	98	62
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0				0	7	3
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	LOC	1.0	0.667	0.8				2	0	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.706	0.766	0.735				36	15	11
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.75	0.75	0.75				3	1	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.975	0.951	0.963				39	1	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.5	0.5	0.5				2	2	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	SCOPE	0.791	0.801	0.796				121	32	30
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0				0	1	2
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.667	0.892	0.763				74	37	9
team2_bundle1_ajmc_en_2	NE-FINE-LIT-micro-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.818	0.9	0.857				9	2	1
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	ALL	0.824	0.885	0.849	0.169	0.198	0.125			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	DATE	0.0	0.0	0.0	0.0	0.0	0.0			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	LOC	1.0	0.667	1.0	0.0	0.0	0.471			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.AUTHOR	0.762	0.812	0.784	0.247	0.251	0.249			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.EDITOR	0.833	0.833	0.833	0.236	0.236	0.236			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.MYTH	0.983	0.971	0.977	0.069	0.05	0.086			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	PERS.OTHER	0.667	0.667	0.667	0.471	0.471	0.471			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	SCOPE	0.876	0.912	0.888	0.134	0.133	0.153			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0.0	0.0	0.0	0.0			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.787	0.953	0.895	0.098	0.285	0.1			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-fuzzy-TIME-ALL-LED-ALL	WORK.SECLIT	0.6	0.75	0.75	0.433	0.49	0.433			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	ALL	0.773	0.828	0.794	0.172	0.202	0.127			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	DATE	0.0	0.0	0.0	0.0	0.0	0.0			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	LOC	1.0	0.667	1.0	0.0	0.0	0.471			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.AUTHOR	0.728	0.768	0.745	0.251	0.262	0.24			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.EDITOR	0.833	0.833	0.833	0.236	0.236	0.236			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.MYTH	0.983	0.971	0.977	0.069	0.05	0.086			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	PERS.OTHER	0.667	0.667	0.667	0.471	0.471	0.471			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	SCOPE	0.782	0.806	0.789	0.181	0.187	0.182			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	WORK.FRAGM	0.0	0.0	0.0	0.0	0.0	0.0			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	WORK.PRIMLIT	0.746	0.887	0.842	0.159	0.302	0.131			
team2_bundle1_ajmc_en_2	NE-FINE-LIT-macro_doc-strict-TIME-ALL-LED-ALL	WORK.SECLIT	0.6	0.75	0.75	0.433	0.49	0.433			
team2_bundle1_ajmc_en_2	NE-NESTED-micro-fuzzy-TIME-ALL-LED-ALL	ALL	0	0	0				0	0	0
