TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = hidden_test_fr_1
# hipe2022:date = 1923-01-15
# hipe2022:language = fr
# hipe2022:dataset = newseye
# hipe2022:document_type = newspaper
# hipe2022:original_source = NewsEye-GT-NER_EL_StD-v1/NewsEye-French/hidden_test.tsv
# newseye:decade = 1923
# newseye:doi = https://doi.org/10.5281/zenodo.4573313
# newseye:version = v1.0
# newseye:publication_title =  L_OEuvre 
# newseye:original_license = CC-BY 4.0
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
Celui	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
ci	O	_	O	_	_	_	_	_	_
me	O	_	O	_	_	_	_	_	_
verse	O	_	O	_	_	_	_	_	_
un	O	_	O	_	_	_	_	_	_
petit	O	_	O	_	_	_	_	_	_
vin	O	_	O	_	_	_	_	_	_
rouge	O	_	O	_	_	_	_	_	_
con¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
tenu	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
une	O	_	O	_	_	_	_	_	_
bouteille	O	_	O	_	_	_	_	_	_
dont	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	NoSpaceAfter
s	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
adorne	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
un	O	_	O	_	_	_	_	_	_
cachet	O	_	O	_	_	_	_	_	_
qui	O	_	O	_	_	_	_	_	_
semble	O	_	O	_	_	_	_	_	_
suspect	O	_	O	_	_	_	_	_	NoSpaceAfter
comme	O	_	O	_	_	_	_	_	_
une	O	_	O	_	_	_	_	_	_
décoration	O	_	O	_	_	_	_	_	_
sur	O	_	O	_	_	_	_	_	_
un	O	_	O	_	_	_	_	_	_
monsieur	O	_	O	_	_	_	_	_	NoSpaceAfter
aux	O	_	O	_	_	_	_	_	_
doigts	O	_	O	_	_	_	_	_	_
chargés	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
trop	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
bagues	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
—	O	_	O	_	_	_	_	_	_
C	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
est	O	_	O	_	_	_	_	_	_
deux	O	_	O	_	_	_	_	_	_
francs	O	_	O	_	_	_	_	_	_
!	O	_	O	_	_	_	_	_	NoSpaceAfter
Ce	O	_	O	_	_	_	_	_	_
vin	O	_	O	_	_	_	_	_	_
m	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
a	O	_	O	_	_	_	_	_	_
mis	O	_	O	_	_	_	_	_	_
en	O	_	O	_	_	_	_	_	_
goût	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Je	O	_	O	_	_	_	_	_	_
m	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
asse	O	_	O	_	_	_	_	_	NoSpaceAfter
maintenant	O	_	O	_	_	_	_	_	_
dans	O	_	O	_	_	_	_	_	_
ce	O	_	O	_	_	_	_	_	_
café	O	_	O	_	_	_	_	_	_
des	O	_	O	_	_	_	_	_	_
boulevards	O	_	O	_	_	_	_	_	NoSpaceAfter
où	O	_	O	_	_	_	_	_	_
Ernest	B-PER	_	O	_	_	_	_	_	_
la	I-PER	_	O	_	_	_	_	_	_
Jeunesse	I-PER	_	O	_	_	_	_	_	_
avait	O	_	O	_	_	_	_	_	_
sa	O	_	O	_	_	_	_	_	_
table	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfSentence
—	O	_	O	_	_	_	_	_	_
Nous	O	_	O	_	_	_	_	_	_
n	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
avons	O	_	O	_	_	_	_	_	_
pas	O	_	O	_	_	_	_	_	_
de	O	_	O	_	_	_	_	_	_
vin	O	_	O	_	_	_	_	_	_
rouge	O	_	O	_	_	_	_	_	NoSpaceAfter
,	O	_	O	_	_	_	_	_	_
me	O	_	O	_	_	_	_	_	NoSpaceAfter
répond	O	_	O	_	_	_	_	_	_
le	O	_	O	_	_	_	_	_	_
garçon	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
(	O	_	O	_	_	_	_	_	NoSpaceAfter
Celui	O	_	O	_	_	_	_	_	NoSpaceAfter
-	O	_	O	_	_	_	_	_	NoSpaceAfter
ci	O	_	O	_	_	_	_	_	_
a	O	_	O	_	_	_	_	_	_
l	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
air	O	_	O	_	_	_	_	_	_
protec¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
teur	O	_	O	_	_	_	_	_	_
et	O	_	O	_	_	_	_	_	_
me	O	_	O	_	_	_	_	_	_
marque	O	_	O	_	_	_	_	_	_
quelque	O	_	O	_	_	_	_	_	_
commisèra	O	_	O	_	_	_	_	_	NoSpaceAfter
tion	O	_	O	_	_	_	_	_	NoSpaceAfter
.	O	_	O	_	_	_	_	_	_
Brave	O	_	O	_	_	_	_	_	_
cœur	O	_	O	_	_	_	_	_	_
!	O	_	O	_	_	_	_	_	_
Il	O	_	O	_	_	_	_	_	_
croit	O	_	O	_	_	_	_	_	_
que	O	_	O	_	_	_	_	_	_
je	O	_	O	_	_	_	_	_	_
me	O	_	O	_	_	_	_	_	_
sui¬	O	_	O	_	_	_	_	_	NoSpaceAfter|EndOfLine
trompé	O	_	O	_	_	_	_	_	_
d	O	_	O	_	_	_	_	_	NoSpaceAfter
'	O	_	O	_	_	_	_	_	NoSpaceAfter
établissement	O	_	O	_	_	_	_	_	NoSpaceAfter
